09-02 22:31:53.370 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 28 of 32 (23s remaining percent=87 max=100 session=S3-1788367015251-6524
09-02 22:31:58.731 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 29 of 32 (17s remaining))
09-02 22:31:58.733 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 29 of 32 (17s remaining percent=90 max=100 session=S3-1788367015251-6524
09-02 22:32:03.889 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 30 of 32 (11s remaining))
09-02 22:32:03.892 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 30 of 32 (11s remaining percent=93 max=100 session=S3-1788367015251-6524
09-02 22:32:09.409 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 31 of 32 (5s remaining))
09-02 22:32:09.419 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 31 of 32 (5s remaining) percent=96 max=100 session=S3-1788367015251-6524
09-02 22:32:15.164 28326 28390 D RPCS3   : S3PPU install_step=2 more_work=1 title=BLUS30443
09-02 22:32:15.170 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 32 of 32 (done))
09-02 22:32:15.171 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 32 of 32 (done) percent=100 max=100 session=S3-1788367015251-6524
09-02 22:32:15.209 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: analyzing... percent=0 max=100 session=S3-1788367015251-6524
09-02 22:32:18.513 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 0 of 32)
09-02 22:32:18.514 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 0 of 32 percent=0 max=100 session=S3-1788367015251-6524
09-02 22:32:24.272 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 1 of 32 (4m remaining))
09-02 22:32:24.280 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 1 of 32 (4m remaining) percent=3 max=100 session=S3-1788367015251-6524
09-02 22:32:30.223 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 2 of 32 (3m remaining))
09-02 22:32:30.230 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 2 of 32 (3m remaining) percent=6 max=100 session=S3-1788367015251-6524
09-02 22:32:35.922 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 3 of 32 (3m remaining))
09-02 22:32:35.931 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 3 of 32 (3m remaining) percent=9 max=100 session=S3-1788367015251-6524
09-02 22:32:43.897 28326 28390 I scudo   : Can't populate more pages for size class 3120.
09-02 22:32:44.014 28326 28390 I scudo   : Can't populate more pages for size class 4112.
09-02 22:32:44.132 28326 28390 I scudo   : Can't populate more pages for size class 4624.
09-02 22:32:44.238 28326 28390 I scudo   : Can't populate more pages for size class 7120.
09-02 22:32:44.322 28326 28390 I scudo   : Can't populate more pages for size class 8720.
09-02 22:32:44.394 28326 28390 I scudo   : Can't populate more pages for size class 11664.
09-02 22:32:44.453 28326 28390 I scudo   : Can't populate more pages for size class 14224.
09-02 22:32:44.506 28326 28390 I scudo   : Can't populate more pages for size class 16400.
09-02 22:32:44.553 28326 28390 I scudo   : Can't populate more pages for size class 18448.
09-02 22:32:44.594 28326 28390 I scudo   : Can't populate more pages for size class 23056.
09-02 22:32:44.626 28326 28390 I scudo   : Can't populate more pages for size class 29456.
09-02 22:32:44.655 28326 28390 I scudo   : Can't populate more pages for size class 33296.
09-02 22:32:44.670 28326 28390 I scudo   : Can't populate more pages for size class 65552.
09-02 22:32:44.947 28326 28390 F libc    : Fatal signal 6 (SIGABRT), code -1 (SI_QUEUE) in tid 28390 (Thread-6), pid 28326 (ithblue.sambas3)
09-02 22:32:45.025 28326 28336 E libc++abi: terminating due to uncaught exception of type St9bad_alloc: std::bad_alloc
09-02 22:32:45.026 28326 28332 E libc++abi: terminating due to uncaught exception of type St9bad_alloc: std::bad_alloc
09-02 22:32:45.752 30985 30985 F DEBUG   : signal 6 (SIGABRT), code -1 (SI_QUEUE), fault addr --------
09-02 22:32:45.752 30985 30985 F DEBUG   :       #01 pc 0000000006854834  /data/app/~~3dMTkjLlLLb33hXiMxwbuA==/com.zenithblue.sambas3-j63tPHREEOTUQwbgbRhsFA==/lib/arm64/librpcsx-android.so (llvm::report_bad_alloc_error(char const*, bool)+128) (BuildId: 3ba4d769e30bc2cf68cb8fdf899a9842dfba0ba1)
